name,facility_type,capacity,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,coordinate,plant_life,incommod,outcommod,,plant age
Solar_Photovoltaic_Project_#15_S015A,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015B,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015C,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015D,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015E,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015F,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#15_S015G,solar,0.5,1,2013,1,2038,"(34.079167,-117.516666)",25,,,,7
Solar_Photovoltaic_Project_#16_S016A,solar,0.5,2,2015,2,2040,"(34.085556,-117.233611)",25,,,,5
Solar_Photovoltaic_Project_#16_S016B,solar,0.5,2,2015,2,2040,"(34.085556,-117.233611)",25,,,,5
Solar_Photovoltaic_Project_#16_S016C,solar,0.5,2,2015,2,2040,"(34.085556,-117.233611)",25,,,,5
Solar_Photovoltaic_Project_#17_S017A,solar,0.5,1,2015,1,2040,"(34.072778,-117.503333)",25,,,,5
Solar_Photovoltaic_Project_#17_S017B,solar,0.5,1,2015,1,2040,"(34.072778,-117.503333)",25,,,,5
Solar_Photovoltaic_Project_#17_S017C,solar,0.5,1,2015,1,2040,"(34.072778,-117.503333)",25,,,,5
